"","Year.x","iscovid","mandated_code","mandated_data","peer_reviewed","has_data","language","Open.source","Cross.Platform","Instructions.Provided","Code.runs","Tables...numbers.reproduced","Figures.reproduced","Outputs.match","version.for.paper","Self.contained","Is.a.notebook","Outputs_fully_match","Outputs.partial.match"
"1",2020,1,FALSE,TRUE,TRUE,TRUE,"R","1",0,1,1,"1",1,1,1,1,0,1,0
"2",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020,1,FALSE,TRUE,TRUE,TRUE,"matlab","0",1,1,1,"1",1,1,1,1,0,1,0
"5",2020,1,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020,1,FALSE,TRUE,TRUE,TRUE,"R","0",1,0.5,0.5,"0",0,0,0,0,0,0,0
"8",2021,1,TRUE,TRUE,TRUE,TRUE,"R","1",1,1,1,"0.5",0.5,0.5,0,0,0,0,1
"9",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020,1,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2021,1,TRUE,TRUE,TRUE,TRUE,"Other","1",1,1,0.5,"0.5",0.5,0.5,1,0,0,0,1
"13",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020,1,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020,1,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020,1,FALSE,TRUE,TRUE,TRUE,"R","1",1,0.5,0.5,"1",0.5,0.5,0,1,0,0,1
"17",2020,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020,1,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020,1,FALSE,TRUE,TRUE,TRUE,"R","1",0,1,0,"0",0,0,1,0,0,0,0
"21",2020,1,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020,1,FALSE,TRUE,TRUE,TRUE,"python","1",1,0.5,1,"1",1,1,1,1,0,1,0
"23",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2021,1,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020,1,FALSE,FALSE,FALSE,TRUE,"matlab","0",1,1,1,"0",0,0,1,1,1,0,0
"26",2020,1,FALSE,TRUE,TRUE,TRUE,"R","1",1,1,1,"0",0.5,0.5,1,1,0,0,1
"27",2021,1,FALSE,TRUE,TRUE,TRUE,"R","1",1,0,0.5,"0",0,0,0,0,0,0,0
"28",2020,1,FALSE,TRUE,TRUE,TRUE,"R","1",1,0.5,0.5,"0.5",0,0.5,0,0,0,0,1
"29",2020,1,FALSE,TRUE,TRUE,TRUE,"R","1",0,0,0,"n/a",1,1,1,1,0,1,0
"30",2020,1,TRUE,TRUE,TRUE,TRUE,"Other","1",1,1,1,"1",1,1,1,0,0,1,0
"31",2020,1,FALSE,FALSE,TRUE,TRUE,"R","1",1,0,1,"0.5",1,0.5,0,0,0,0,1
"32",2020,1,FALSE,FALSE,TRUE,TRUE,"R","0",1,0,0.5,"n/a",1,1,0.5,0,0,1,0
"33",2020,1,TRUE,TRUE,TRUE,TRUE,"R","1",1,1,1,"1",1,1,1,0,1,1,0
"34",2020,1,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020,1,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
